Shoe size conversion tables,,,,,,,,,,,,
,,,,,,,,,,,,
Men sizes,,,,,,,,Women sizes,,,,
,,,,,,,,,,,,
US,Europe,UK,Inches,Centimetres,,,,US,Europe,UK,Inches,Centimetres
6,39,5.5,9.3,23.5,,,,4,35,2,8.2,20.8
6.5,39,6,9.5,24.1,,,,4.5,35,2.5,8.4,21.3
7,40,6.5,9.6,24.4,,,,5,35-36,3,8.5,21.6
7.5,40-41,7,9.8,24.8,,,,5.5,36,3.5,8.8,22.2
8,41,7.5,9.9,25.4,,,,6,36-37,4,8.9,22.5
8.5,41-42,8,10.1,25.7,,,,6.5,37,4.5,9.1,23.0
9,42,8.5,10.3,26.0,,,,7,37-38,5,9.3,23.5
9.5,42-43,9,10.4,26.7,,,,7.5,38,5.5,9.4,23.8
10,43,9.5,10.6,27.0,,,,8,38-39,6,9.5,24.1
10.5,43-44,10,10.8,27.3,,,,8.5,39,6.5,9.7,24.6
11,44,10.5,10.9,27.9,,,,9,39-40,7,9.9,25.1
11.5,44-45,11,11.1,28.3,,,,9.5,40,7.5,10.0,25.4
12,45,11.5,11.3,28.6,,,,10,40-41,8,10.2,25.9
13,46,12.5,11.6,29.4,,,,10.5,41,8.5,10.3,26.2
14,47,13.5,11.9,30.2,,,,11,41-42,9,10.5,26.7
15,48,14.5,12.2,31.0,,,,11.5,42,9.5,10.7,27.1
16,49,15.5,12.5,31.8,,,,12,42-43,10,10.9,27.6
